SERIAL,CIRCULATION_MARKET_VALUE<140>,TRADING_VOLUMES{2025-10-17},TOAL_MARKET_VALUE<140>{2025-10-17},CHG,PCHG{2025-10-17},BOTTOM_PRICE<140>{2025-10-17},VOLUME{2025-10-17},PEAK_PRICE<140>{2025-10-17},MARKET_SHORT_NAME,SECURITY_CODE,QRR{2025-10-17},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE{2025-10-17},IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PETTM{2025-10-17},PE_DYNAMIC{2025-10-17}
1,937.13亿,25.79亿,1828.65亿,-4.24,-15.07,339.10,742.85万,358.34,SZ,300033,0.97,26.88,340.15,同花顺,否,2.70,否,0,False,93.19,182.19
2,1639.94亿,44.29亿,1639.94亿,-4.55,-12.49,260.28,1669.11万,276.00,SH,688012,0.78,7.86,261.91,中微公司,否,2.67,否,1,False,90.86,116.16
3,1185.88亿,6.96亿,1185.88亿,-2.47,-3.64,143.20,480.37万,148.88,SH,688271,0.72,5.72,143.89,XD联影医,否,0.58,否,1,False,90.55,59.41
4,825.28亿,29.44亿,1090.36亿,-5.03,-3.15,59.00,4889.44万,63.00,SZ,002384,0.85,5.22,59.53,东山精密,否,3.53,否,0,False,84.98,71.92
5,678.50亿,7.10亿,678.50亿,-5.25,-2.83,50.93,1362.48万,53.95,SH,688396,0.68,2.99,51.11,XD华润微,否,1.03,否,1,False,82.65,100.13
6,1378.38亿,21.06亿,1378.38亿,-2.61,-7.96,296.23,702.20万,306.80,SH,688111,0.44,11.85,297.59,金山办公,否,1.52,否,1,False,82.50,92.24
7,773.26亿,17.27亿,773.48亿,-4.31,-8.27,183.70,925.06万,191.94,SH,603893,0.77,19.50,183.76,瑞芯微,否,2.20,否,1,False,82.00,72.81
8,610.52亿,10.84亿,612.14亿,-5.35,-1.15,20.22,5247.99万,21.47,SH,600673,1.27,6.48,20.34,东阳光,否,1.75,否,1,False,80.42,49.96
9,1580.31亿,53.66亿,1580.31亿,-4.56,-6.60,137.81,3820.19万,145.45,SH,688008,0.80,13.04,138.00,澜起科技,否,3.34,否,1,False,79.91,68.17
10,2218.05亿,89.84亿,2237.47亿,-2.87,-7.67,253.40,3454.43万,267.49,SZ,300476,0.76,20.42,259.36,胜宏科技,否,4.04,否,0,False,78.82,52.20
11,402.19亿,30.43亿,522.21亿,-2.55,-2.17,82.44,3639.89万,85.51,SZ,300604,0.61,13.80,82.83,长川科技,否,7.50,否,0,False,77.88,61.15
12,80.66亿,7.70亿,672.16亿,1.44,1.20,82.63,907.15万,87.08,SZ,301165,1.46,14.25,84.50,锐捷网络,否,9.50,否,0,False,77.04,74.33
13,588.32亿,68.74亿,588.37亿,-9.46,-4.05,38.68,1.72亿,41.50,SZ,002156,0.76,3.99,38.77,通富微电,否,11.35,否,0,False,76.71,71.39
14,594.22亿,5.37亿,594.22亿,-3.23,-0.41,12.26,4307.08万,12.75,SH,600372,1.12,1.57,12.28,中航机载,否,0.89,否,1,False,76.24,46.29
15,705.61亿,48.09亿,705.61亿,-0.92,-0.42,44.98,1.05亿,47.00,SH,600580,0.84,6.75,45.17,卧龙电驱,否,6.71,否,1,False,75.29,65.67
16,571.96亿,7.53亿,571.96亿,-5.12,-3.71,68.51,1081.05万,72.66,SH,688183,0.90,12.64,68.76,生益电子,否,1.30,否,1,False,74.63,53.91
17,1532.19亿,47.02亿,1532.61亿,-2.63,-2.83,103.70,4441.07万,108.19,SH,603019,0.69,7.28,104.75,中科曙光,否,3.04,否,1,False,73.11,120.41
18,1137.32亿,24.12亿,1139.61亿,-2.76,-4.16,146.20,1629.07万,151.70,SZ,300394,0.68,24.31,146.59,天孚通信,否,2.10,否,0,False,71.74,63.37
19,707.60亿,6.67亿,709.75亿,-2.78,-0.73,25.47,2582.50万,26.33,SZ,000768,0.95,3.31,25.52,中航西飞,否,0.93,否,0,False,67.26,51.51
20,512.00亿,15.75亿,513.47亿,-4.67,-7.26,147.80,1046.12万,157.00,SZ,300857,0.62,14.12,148.35,协创数据,否,3.03,否,0,False,67.03,59.42
21,1774.50亿,21.40亿,1830.62亿,-3.83,-2.57,64.42,3245.73万,67.99,SH,600760,0.84,8.48,64.57,中航沈飞,否,1.18,否,1,False,62.86,80.54
22,675.38亿,28.78亿,675.38亿,-6.05,-2.81,43.50,6452.34万,46.68,SH,600895,0.68,5.11,43.61,XD张江高,否,4.17,否,1,False,62.23,91.48
23,4130.15亿,173.59亿,4151.14亿,1.81,6.63,360.00,4676.36万,381.91,SZ,300308,1.17,18.55,373.60,中际旭创,否,4.23,否,0,False,60.97,51.95
24,767.55亿,6.75亿,844.61亿,-2.09,-3.76,173.97,379.40万,183.76,SH,688082,0.71,6.66,176.00,盛美上海,否,0.87,否,1,False,60.08,60.70
25,105.25亿,7.13亿,597.51亿,-0.64,-0.14,21.85,3221.09万,22.37,SH,601136,1.25,4.35,21.86,首创证券,否,6.69,否,1,False,59.86,60.94
26,674.82亿,23.74亿,674.94亿,-5.66,-4.77,79.23,2925.56万,84.30,SZ,002049,0.87,5.31,79.44,紫光国微,否,3.44,否,0,False,59.53,48.77
27,1299.97亿,30.95亿,1318.85亿,-10.00,-6.03,54.29,5566.09万,60.20,SH,600183,1.01,9.28,54.29,生益科技,否,2.32,否,1,False,59.07,46.23
28,4152.73亿,22.99亿,4320.82亿,-2.60,-1.74,65.00,3495.07万,67.40,SH,600276,0.60,7.39,65.10,恒瑞医药,否,0.55,否,1,False,58.75,48.55
29,1305.77亿,13.52亿,1309.15亿,-2.56,-5.15,193.00,683.27万,201.88,SZ,002916,0.68,8.60,196.35,深南电路,否,1.03,否,0,False,58.18,48.13
30,703.33亿,20.49亿,734.91亿,-3.68,-1.55,40.40,4985.02万,42.64,SZ,002074,0.58,2.80,40.52,国轩高科,否,2.87,否,0,False,56.43,100.22
31,46.54亿,4.90亿,670.70亿,-1.20,-0.34,27.64,1719.74万,29.17,SZ,301656,0.65,7.47,27.89,联合动力,否,10.31,否,0,False,55.88,61.08
32,2800.58亿,97.84亿,3144.03亿,-2.60,-8.45,314.22,3065.36万,326.66,SZ,300502,0.71,25.94,316.31,新易盛,否,3.46,否,0,False,53.15,39.88
33,166.65亿,2.70亿,1664.97亿,-1.51,-0.47,30.71,870.68万,31.28,SZ,300999,0.88,1.75,30.71,金龙鱼,否,1.60,否,0,False,52.67,47.42
34,300.99亿,4.31亿,551.11亿,-3.91,-1.20,29.39,1440.69万,30.97,SZ,300413,0.67,2.41,29.46,芒果超媒,否,1.41,否,0,False,51.85,36.10
35,778.86亿,38.50亿,779.26亿,-4.27,-3.46,77.34,4913.08万,81.50,SZ,000988,0.78,7.43,77.50,华工科技,否,4.89,否,0,False,51.85,42.76
36,1013.18亿,36.32亿,1028.52亿,-6.49,-0.98,14.10,2.51亿,15.08,SZ,002600,0.66,4.57,14.13,领益智造,否,3.50,否,0,False,51.44,55.30
37,2608.38亿,28.17亿,2608.38亿,-1.79,-0.63,34.60,8008.93万,35.61,SH,600150,0.93,1.56,34.66,中国船舶,否,1.06,否,1,False,50.67,44.27
38,745.65亿,13.40亿,745.65亿,-2.58,-1.02,38.30,3424.36万,40.16,SZ,002558,0.85,5.42,38.54,巨人网络,否,1.77,否,0,False,50.24,47.98
39,1596.05亿,103.07亿,1823.31亿,0.93,0.40,42.01,2.37亿,44.89,SZ,002050,0.95,6.27,43.32,三花智控,否,6.43,否,0,False,49.35,43.21
40,706.82亿,33.64亿,706.82亿,-5.32,-2.22,39.47,8364.93万,41.58,SH,600584,0.72,2.54,39.50,长电科技,否,4.67,否,1,False,48.38,75.07
41,774.80亿,24.59亿,774.80亿,-4.07,-1.15,27.05,8890.13万,28.84,SZ,000938,0.84,5.49,27.09,紫光股份,否,3.11,否,0,False,48.04,37.22
42,2889.91亿,29.12亿,2892.23亿,-2.74,-11.26,398.08,723.58万,409.80,SZ,002371,0.62,8.56,399.43,北方华创,否,1.00,否,0,False,47.89,45.08
43,590.02亿,11.22亿,590.02亿,-3.17,-1.02,31.02,3548.64万,32.37,SH,600570,0.92,6.68,31.14,恒生电子,否,1.87,否,1,False,46.32,113.24
44,530.11亿,7.80亿,535.03亿,-4.13,-2.34,54.21,1416.46万,56.80,SH,603228,0.55,4.36,54.33,景旺电子,否,1.45,否,1,False,46.04,41.18
45,502.19亿,12.70亿,502.19亿,-4.87,-7.27,142.00,879.21万,149.00,SH,688120,0.76,7.14,142.10,华海清科,否,2.49,否,1,False,45.81,49.68
46,1197.08亿,8.12亿,1197.08亿,-5.02,-4.72,89.03,897.19万,93.70,SH,601100,0.68,7.31,89.28,恒立液压,否,0.67,否,1,False,45.17,41.88
47,1.19万亿,84.13亿,1.19万亿,-5.63,-3.58,59.90,1.38亿,63.27,SH,601138,0.80,7.86,60.01,工业富联,否,0.69,否,1,False,44.82,49.19
48,518.83亿,4.31亿,525.32亿,-3.95,-3.73,90.50,467.47万,94.47,SH,603486,1.03,6.57,90.75,科沃斯,否,0.82,否,1,False,44.65,26.82
49,1420.10亿,56.86亿,1560.69亿,-8.91,-7.46,76.28,7265.52万,83.00,SZ,300014,0.91,4.05,76.29,亿纬锂能,否,3.90,否,0,False,44.04,48.61
50,1184.55亿,3.93亿,1184.55亿,-0.48,-0.94,195.60,200.28万,197.55,SH,600436,0.88,8.10,196.34,片仔癀,否,0.33,否,1,False,43.91,41.72
51,740.10亿,8.54亿,742.81亿,-3.73,-1.76,45.45,1852.27万,47.33,SZ,300442,0.71,6.96,45.45,润泽科技,否,1.14,否,0,False,43.54,42.10
52,283.15亿,4.39亿,619.18亿,-2.42,-0.27,10.90,3964.19万,11.26,SH,601456,1.00,1.21,10.90,国联民生,否,1.53,否,1,False,43.09,27.46
53,1464.21亿,36.53亿,1867.48亿,1.61,0.64,40.00,8927.61万,42.11,SH,600547,1.02,7.00,40.51,山东黄金,否,2.47,否,1,False,42.67,33.25
54,1835.04亿,29.47亿,2094.69亿,-3.95,-3.19,77.47,3747.69万,80.88,SZ,300124,0.71,6.89,77.59,汇川技术,否,1.58,否,0,False,40.79,35.28
55,563.58亿,13.43亿,563.58亿,-2.01,-0.54,26.35,4953.95万,28.15,SH,603659,0.82,2.95,26.38,璞泰来,否,2.32,否,1,False,40.60,26.70
56,1367.12亿,24.28亿,1448.62亿,0.09,0.06,69.39,3453.26万,71.29,SH,601888,1.51,2.62,70.02,中国中免,否,1.77,否,1,False,40.42,27.86
57,1141.41亿,21.40亿,1141.41亿,-3.75,-2.56,65.38,3224.04万,68.20,SH,601689,0.58,5.06,65.68,拓普集团,否,1.86,否,1,False,40.20,44.07
58,576.05亿,32.18亿,576.19亿,-5.34,-1.83,32.36,9634.02万,35.05,SZ,000426,0.84,6.81,32.45,兴业银锡,否,5.43,否,0,False,39.95,36.21
59,486.49亿,3.46亿,654.54亿,-1.81,-0.42,22.78,1505.13万,23.28,SH,600845,0.66,6.18,22.80,宝信软件,否,0.71,否,1,False,39.74,45.93
60,1575.64亿,7.12亿,1575.64亿,1.71,5.10,296.10,234.43万,309.00,SH,605499,1.16,21.19,303.00,东鹏饮料,否,0.45,否,1,False,39.68,33.17
61,1233.62亿,30.24亿,1234.62亿,-4.58,-3.08,64.00,4659.57万,66.91,SZ,002463,1.00,9.69,64.17,沪电股份,否,2.42,否,0,False,39.45,36.68
62,907.23亿,16.91亿,929.88亿,-5.73,-2.95,48.01,3468.76万,51.50,SZ,300408,0.78,4.58,48.52,三环集团,否,1.86,否,0,False,38.71,37.58
63,426.24亿,7.64亿,533.99亿,-3.38,-1.05,29.92,2511.80万,31.27,SZ,300759,0.77,3.74,30.03,康龙化成,否,1.77,否,0,False,38.66,38.07
64,1535.36亿,26.08亿,1535.36亿,-4.12,-5.47,127.20,2020.72万,132.62,SH,603501,0.75,5.91,127.27,豪威集团,否,1.68,否,1,False,38.54,37.86
65,965.13亿,34.58亿,1092.17亿,-5.08,-1.67,31.06,1.09亿,32.80,SZ,002241,0.67,3.22,31.20,歌尔股份,否,3.53,否,0,False,38.23,38.54
66,947.14亿,36.81亿,948.20亿,-4.45,-3.00,64.27,5623.74万,67.81,SZ,000977,0.65,4.64,64.41,浪潮信息,否,3.82,否,0,False,37.95,59.36
67,1359.81亿,18.47亿,1445.26亿,-4.34,-1.24,27.20,6662.25万,28.64,SZ,300433,0.85,3.02,27.35,蓝思科技,否,1.34,否,0,False,37.01,63.24
68,138.32亿,15.22亿,648.60亿,-1.62,-0.33,20.00,7487.56万,20.79,SH,601059,1.38,3.20,20.00,信达证券,否,10.83,否,1,False,36.54,31.66
69,640.89亿,3.00亿,779.39亿,-0.89,-0.28,31.30,950.67万,31.82,SH,600009,1.02,1.86,31.32,上海机场,否,0.46,否,1,False,36.03,37.32
70,494.61亿,17.93亿,533.18亿,-5.87,-1.80,28.85,6077.18万,31.00,SZ,300207,0.76,2.20,28.86,欣旺达,否,3.55,否,0,False,35.54,31.15
71,3325.37亿,77.90亿,3928.88亿,-2.20,-0.56,24.81,3.10亿,25.62,SZ,300059,0.79,4.59,24.86,东方财富,否,2.31,否,0,False,35.33,35.28
72,2341.37亿,43.93亿,2533.02亿,-3.41,-5.47,155.01,2796.99万,159.84,SH,601127,0.70,9.47,155.08,赛力斯,否,1.85,否,1,False,34.88,43.07
73,743.78亿,17.00亿,854.92亿,-2.14,-0.09,4.10,4.10亿,4.21,SZ,000100,0.81,1.37,4.11,TCL科技,否,2.27,否,0,False,34.86,22.69
74,1054.49亿,3.42亿,1054.51亿,-0.67,-0.47,69.78,486.61万,70.65,SZ,002304,0.85,2.15,70.00,洋河股份,否,0.32,否,0,False,34.35,12.14
75,581.67亿,19.06亿,699.97亿,-3.87,-0.21,5.20,3.59亿,5.48,SZ,000630,0.62,1.96,5.22,铜陵有色,否,3.22,否,0,False,33.84,24.29
76,645.02亿,8.61亿,827.44亿,-4.94,-5.52,106.10,799.32万,111.49,SZ,002028,0.75,6.21,106.30,思源电气,否,1.32,否,0,False,33.83,28.42
77,2173.08亿,4.66亿,2286.89亿,-1.73,-0.69,39.08,1179.98万,39.97,SH,603288,0.79,5.84,39.08,海天味业,否,0.21,否,1,False,33.61,29.21
78,995.34亿,10.92亿,1170.34亿,0.24,0.03,12.37,8710.44万,12.68,SZ,300015,1.13,5.40,12.55,爱尔眼科,否,1.10,否,0,False,32.90,28.53
79,499.94亿,28.71亿,629.54亿,-6.88,-1.10,14.85,1.88亿,16.05,SZ,002202,0.93,1.68,14.90,金风科技,否,5.60,否,0,False,32.10,21.16
80,1327.42亿,22.07亿,1327.42亿,-4.72,-0.52,10.35,2.03亿,11.30,SZ,000617,0.70,1.29,10.50,中油资本,否,1.60,否,0,False,31.58,25.57
81,353.67亿,5.33亿,513.04亿,-2.88,-5.02,169.55,310.80万,174.43,SZ,300896,1.24,7.23,169.55,爱美客,否,1.49,否,0,False,31.55,32.49
82,55.65亿,1.28亿,791.14亿,-1.07,-0.07,6.47,1969.22万,6.57,SZ,001391,1.16,3.10,6.48,国货航,否,2.29,否,0,False,31.30,31.90
83,1958.51亿,160.78亿,2326.23亿,-9.99,-5.40,48.63,3.20亿,53.88,SZ,000063,0.88,3.11,48.63,中兴通讯,否,7.94,否,0,False,30.02,23.00
84,953.01亿,11.57亿,953.01亿,-3.68,-1.35,35.25,3243.79万,36.72,SH,600160,0.78,4.95,35.30,巨化股份,否,1.20,否,1,False,29.97,23.23
85,159.08亿,6.49亿,2648.86亿,-1.09,-0.07,6.35,1.02亿,6.43,SH,600930,1.10,2.49,6.35,华电新能,否,4.06,否,1,False,29.93,21.23
86,2733.97亿,16.97亿,2734.06亿,-2.35,-5.43,225.28,746.37万,231.49,SZ,300760,0.86,7.00,225.50,迈瑞医疗,否,0.62,否,0,False,29.79,26.97
87,690.98亿,24.69亿,693.24亿,-9.95,-13.81,124.86,1929.78万,137.97,SZ,002920,1.74,7.19,124.92,德赛西威,否,3.49,否,0,False,29.02,28.35
88,1.52万亿,115.89亿,1.63万亿,-2.81,-10.36,356.99,3190.58万,375.00,SZ,300750,0.74,5.54,358.14,宁德时代,否,0.75,否,0,False,28.00,26.80
89,1209.89亿,31.40亿,1209.89亿,2.21,0.54,24.57,1.25亿,25.50,SH,600489,0.85,4.28,24.96,中金黄金,否,2.59,否,1,False,27.89,22.45
90,565.17亿,1.22亿,565.17亿,0.56,0.04,7.07,1711.62万,7.20,SH,600236,0.62,3.22,7.17,XD桂冠电,否,0.22,否,1,False,27.79,23.79
91,4031.53亿,101.66亿,4040.68亿,-6.27,-3.71,55.40,1.79亿,59.25,SZ,002475,0.70,5.45,55.49,立讯精密,否,2.47,否,0,False,27.65,30.41
92,515.81亿,25.39亿,589.13亿,-0.42,-0.13,30.84,8028.31万,32.60,SH,600988,0.88,5.08,31.00,赤峰黄金,否,4.82,否,1,False,27.27,26.61
93,1079.64亿,10.65亿,1083.69亿,-4.36,-2.13,46.60,2255.58万,48.77,SZ,002938,0.73,3.47,46.75,鹏鼎控股,否,0.98,否,0,False,26.63,43.94
94,521.54亿,8.13亿,927.49亿,-3.64,-3.45,91.07,874.39万,95.48,SH,603296,0.66,3.93,91.31,华勤技术,否,1.53,否,1,False,26.32,24.55
95,455.49亿,3.81亿,557.40亿,0.00,0.00,34.68,1085.33万,35.51,SZ,002422,0.82,2.37,34.88,科伦药业,否,0.83,否,0,False,26.09,27.85
96,796.29亿,7.80亿,810.66亿,-2.45,-0.96,38.16,2023.26万,39.17,SZ,002179,1.03,3.46,38.27,中航光电,否,0.97,否,0,False,25.96,28.21
97,728.60亿,13.00亿,859.91亿,-0.80,-0.15,18.58,6852.29万,19.25,SH,601788,1.65,1.44,18.65,光大证券,否,1.75,否,1,False,25.66,25.55
98,895.95亿,9351.60万,1485.54亿,-2.15,-0.39,17.74,521.73万,18.21,SZ,001289,0.76,1.99,17.77,龙源电力,否,0.10,否,0,False,25.59,22.01
99,346.58亿,3.80亿,615.35亿,-3.29,-3.90,114.51,328.15万,119.88,SZ,300866,0.73,6.55,114.77,安克创新,否,1.09,否,0,False,25.54,26.37
100,664.39亿,35.62亿,664.39亿,-1.88,-0.45,23.06,1.49亿,25.20,SH,600021,0.85,3.22,23.55,上海电力,否,5.27,否,1,False,25.28,17.40
101,525.46亿,5.58亿,525.46亿,1.94,1.02,52.47,1036.92万,54.24,SH,601021,1.55,3.00,53.71,XD春秋航,否,1.06,否,1,False,25.25,22.48
102,1051.61亿,14.62亿,1051.76亿,-3.71,-0.74,19.10,7480.89万,20.12,SH,600415,0.78,4.74,19.18,小商品城,否,1.36,否,1,False,25.03,22.82
103,1906.74亿,17.32亿,1906.74亿,-4.54,-1.07,22.43,7592.73万,23.45,SH,600031,0.89,2.69,22.50,三一重工,否,0.90,否,1,False,25.03,18.28
104,858.75亿,11.86亿,858.76亿,-4.70,-2.70,54.36,2131.94万,57.77,SZ,000408,1.29,5.68,54.69,藏格矿业,否,1.36,否,0,False,24.80,23.41
105,605.57亿,9.58亿,665.30亿,0.71,0.17,23.77,3972.47万,24.59,SZ,000975,0.87,4.90,23.96,山金国际,否,1.57,否,0,False,24.70,20.85
106,2990.75亿,38.58亿,3029.91亿,-1.02,-0.34,32.63,1.16亿,34.10,SZ,002415,0.84,4.05,33.06,海康威视,否,1.28,否,0,False,24.10,24.38
107,1468.24亿,26.39亿,1496.56亿,-1.96,-0.08,4.00,6.54亿,4.09,SZ,000725,0.87,1.13,4.00,京东方Ａ,否,1.78,否,0,False,23.81,23.05
108,608.43亿,7.62亿,766.95亿,-1.48,-0.43,28.63,2629.17万,29.49,SH,600196,1.00,1.62,28.72,复星医药,否,1.24,否,1,False,23.62,22.53
109,1169.43亿,19.23亿,1169.44亿,-1.07,-0.24,22.05,8605.23万,22.87,SZ,000792,0.80,2.99,22.10,盐湖股份,否,1.63,否,0,False,23.55,23.25
110,1839.95亿,17.13亿,1848.18亿,-3.72,-0.89,23.00,7364.97万,23.83,SH,600406,0.96,3.79,23.01,国电南瑞,否,0.92,否,1,False,23.55,31.30
111,1092.53亿,9.79亿,1803.95亿,-2.35,-0.90,37.30,2589.75万,38.45,SH,601995,0.89,1.88,37.37,中金公司,否,0.89,否,1,False,23.14,20.83
112,1698.62亿,3.83亿,2028.38亿,-2.24,-0.60,26.04,1444.02万,26.96,SH,601066,0.83,2.54,26.15,中信建投,否,0.22,否,1,False,22.86,22.49
113,860.22亿,5.10亿,921.49亿,-0.97,-0.10,10.16,4961.59万,10.44,SZ,001979,0.72,0.94,10.17,招商蛇口,否,0.59,否,0,False,22.64,31.82
