SERIAL,CIRCULATION_MARKET_VALUE<140>,VOLUME{2025-10-29},CHG,TRADING_VOLUMES{2025-10-29},PCHG{2025-10-29},BOTTOM_PRICE<140>{2025-10-29},PEAK_PRICE<140>{2025-10-29},MARKET_SHORT_NAME,SECURITY_CODE,QRR{2025-10-29},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,MARKET_NUM,IN_OPTIONAL,TURNOVER_RATE{2025-10-29},PETTM{2025-10-29},PE_DYNAMIC{2025-10-29},TOAL_MARKET_VALUE<140>{2025-10-29}
38,524.56亿,4615.19万,0.82,30.91亿,0.55,65.83,68.30,SZ,002281,1.07,5.55,67.30,光迅科技,否,否,0,False,5.92,59.26,56.64,543.01亿
39,1165.28亿,2.29亿,2.15,36.86亿,0.34,15.84,16.28,SZ,002600,1.09,5.29,16.19,领益智造,否,否,0,False,3.18,59.16,45.70,1182.85亿
40,103.47亿,2188.67万,1.22,4.68亿,0.26,21.14,21.55,SH,601136,1.34,4.28,21.49,首创证券,否,否,1,False,4.55,58.84,54.82,587.39亿
41,295.07亿,1203.33万,0.52,3.45亿,0.15,28.40,28.88,SZ,300413,0.67,2.33,28.88,芒果超媒,否,否,0,False,1.18,57.73,39.89,540.26亿
42,4083.84亿,5621.75万,0.63,35.77亿,0.40,62.71,64.48,SH,600276,1.04,7.14,64.02,恒瑞医药,否,否,1,False,0.88,56.90,55.41,4249.14亿
43,566.64亿,5907.99万,9.34,50.76亿,7.45,79.50,90.00,SH,688122,1.67,8.32,87.22,西部超导,否,否,1,False,9.09,56.75,65.42,566.64亿
44,878.16亿,7242.73万,0.87,63.58亿,0.75,85.93,89.28,SZ,000988,0.82,8.06,87.38,华工科技,否,否,0,False,7.21,54.76,49.87,878.61亿
45,170.12亿,918.95万,1.29,2.86亿,0.40,30.79,31.37,SZ,300999,1.30,1.79,31.35,金龙鱼,否,否,0,False,1.69,53.77,48.41,1699.67亿
46,357.63亿,7259.96万,10.00,17.80亿,2.25,23.95,24.76,SZ,000657,0.67,5.71,24.76,中钨高新,否,否,0,False,5.03,52.72,50.03,564.18亿
47,742.61亿,2896.60万,0.58,25.31亿,0.50,86.50,88.55,SZ,002049,1.06,5.66,87.42,紫光国微,否,否,0,False,3.41,51.86,44.11,742.74亿
48,3064.93亿,649.86万,-0.56,27.41亿,-2.38,418.05,427.25,SZ,002371,0.86,9.08,423.62,北方华创,否,否,0,False,0.90,50.79,47.81,3067.38亿
49,815.41亿,6735.29万,0.64,19.13亿,0.18,28.10,28.63,SZ,000938,0.94,5.78,28.51,紫光股份,否,否,0,False,2.35,50.55,39.17,815.41亿
50,747.98亿,6786.28万,-0.21,28.34亿,-0.09,41.42,42.39,SH,600584,0.88,2.66,41.80,长电科技,否,否,1,False,3.79,50.30,58.82,747.98亿
51,531.13亿,781.85万,0.31,11.60亿,0.46,146.00,150.60,SH,688120,0.96,7.56,150.29,华海清科,否,否,1,False,2.21,48.45,52.54,531.13亿
52,616.73亿,3047.92万,0.74,9.87亿,0.24,32.00,32.65,SH,600570,1.25,6.98,32.56,恒生电子,否,否,1,False,1.61,48.41,118.37,616.73亿
53,1324.87亿,1488.81万,5.74,14.47亿,5.36,92.50,99.97,SH,601100,2.03,7.77,98.81,恒立液压,否,否,1,False,1.11,47.25,47.61,1324.87亿
54,1555.99亿,9743.27万,7.82,79.33亿,6.06,77.03,83.99,SZ,300014,1.42,4.32,83.59,亿纬锂能,否,否,0,False,5.23,46.18,45.55,1710.03亿
55,484.57亿,1169.68万,-0.48,2.65亿,-0.11,22.60,22.79,SH,600845,1.05,5.93,22.71,宝信软件,否,否,1,False,0.55,45.50,44.54,651.95亿
56,1281.83亿,6173.23万,3.23,45.43亿,2.31,70.15,75.00,SH,601689,1.11,5.68,73.76,拓普集团,否,否,1,False,3.55,45.15,49.49,1281.83亿
57,766.96亿,1408.39万,-0.25,6.62亿,-0.12,46.70,47.48,SZ,300442,0.96,7.21,47.10,润泽科技,否,否,0,False,0.86,45.12,12.27,769.78亿
58,543.30亿,1.09亿,-0.15,22.31亿,-0.03,20.35,20.94,SH,600143,1.01,2.85,20.62,金发科技,否,否,1,False,4.12,45.07,38.30,543.67亿
59,296.14亿,4821.28万,1.51,5.47亿,0.17,11.20,11.45,SH,601456,1.62,1.27,11.40,国联民生,否,否,1,False,1.86,45.07,28.72,647.59亿
60,1078.85亿,474.90万,0.35,8.38亿,0.62,175.01,179.49,SH,600436,1.40,7.45,178.82,片仔癀,否,否,1,False,0.79,44.59,38.00,1078.85亿
61,1526.33亿,7271.89万,-0.78,58.41亿,-0.62,78.30,83.12,SZ,002463,1.39,10.95,79.38,沪电股份,否,否,0,False,3.78,44.19,42.16,1527.56亿
62,1007.45亿,5067.41万,10.25,26.95亿,5.01,51.98,54.30,SZ,300408,2.11,5.09,53.88,三环集团,否,否,0,False,2.71,42.99,39.54,1032.61亿
63,1040.37亿,8536.10万,3.78,59.68亿,2.58,68.46,70.88,SZ,000977,1.53,5.10,70.75,浪潮信息,否,否,0,False,5.80,41.69,65.21,1041.54亿
64,1067.91亿,8871.73万,1.52,30.07亿,0.51,33.31,34.25,SZ,002241,0.98,3.31,34.10,歌尔股份,否,否,0,False,2.83,41.51,34.98,1206.76亿
65,733.66亿,6099.79万,1.25,23.19亿,0.47,36.63,38.88,SZ,002558,1.42,4.84,37.92,巨人网络,否,否,0,False,3.15,41.43,38.84,733.66亿
66,1874.60亿,3419.58万,2.22,26.80亿,1.72,77.31,79.03,SZ,300124,0.85,6.22,79.03,汇川技术,否,否,0,False,1.44,41.25,37.71,2139.08亿
67,1393.48亿,3569.60万,2.75,25.32亿,1.91,69.27,72.19,SH,601888,2.00,2.67,71.37,中国中免,否,否,1,False,1.83,41.20,28.40,1476.54亿
68,2764.16亿,7948.34万,0.30,29.08亿,0.11,36.34,36.80,SH,600150,0.96,1.96,36.73,中国船舶,否,否,1,False,1.06,40.95,35.43,2764.16亿
69,569.51亿,9946.21万,6.57,32.31亿,2.05,31.09,33.33,SZ,300207,1.72,2.53,33.23,欣旺达,否,否,0,False,5.80,40.92,32.76,613.91亿
70,617.32亿,4.85亿,5.12,26.38亿,0.27,5.30,5.54,SZ,000630,1.14,2.06,5.54,铜陵有色,否,否,0,False,4.35,40.17,31.47,742.88亿
71,483.30亿,4257.71万,6.51,14.19亿,2.08,32.21,34.09,SZ,300759,1.83,4.14,34.05,康龙化成,否,否,0,False,3.00,40.03,39.80,605.48亿
72,1533.82亿,8574.91万,3.94,26.17亿,1.17,29.97,31.00,SZ,300433,1.28,3.03,30.85,蓝思科技,否,否,0,False,1.72,39.80,43.01,1630.22亿
73,1631.87亿,2079.17万,-0.96,27.97亿,-1.31,133.50,135.36,SH,603501,1.19,5.94,135.27,豪威集团,否,否,1,False,1.72,39.25,38.13,1631.87亿
74,1330.84亿,5309.12万,3.40,19.37亿,1.21,35.73,36.88,SH,600547,1.07,6.36,36.82,山东黄金,否,否,1,False,1.47,38.79,32.18,1697.38亿
75,553.51亿,5963.09万,5.55,18.20亿,1.64,29.86,31.23,SZ,000426,0.95,6.55,31.18,兴业银锡,否,否,0,False,3.36,38.39,34.79,553.64亿
76,815.23亿,1314.24万,6.84,17.29亿,8.56,122.00,135.85,SZ,002028,1.70,7.23,133.76,思源电气,否,否,0,False,2.16,38.00,35.76,1044.78亿
77,1860.64亿,3.99亿,-6.46,182.60亿,-3.19,44.59,46.70,SZ,000063,2.22,2.95,46.20,中兴通讯,否,否,0,False,9.91,37.84,31.14,2209.99亿
78,611.01亿,5511.32万,3.29,15.58亿,0.91,27.37,28.67,SH,603659,1.50,3.09,28.60,璞泰来,否,否,1,False,2.58,36.99,26.96,611.01亿
79,2475.89亿,2745.10万,3.14,44.54亿,4.99,158.82,164.00,SH,601127,1.37,10.20,163.99,赛力斯,否,否,1,False,1.82,36.88,45.54,2678.56亿
80,646.62亿,712.34万,0.32,2.25亿,0.10,31.40,31.61,SH,600009,1.08,1.87,31.60,上海机场,否,否,1,False,0.35,36.35,37.66,786.36亿
81,770.92亿,4.28亿,1.43,18.08亿,0.06,4.16,4.27,SZ,000100,1.73,1.42,4.26,TCL科技,否,否,0,False,2.36,36.13,23.52,886.12亿
82,140.67亿,5913.43万,0.35,11.89亿,0.07,19.52,20.42,SH,601059,1.56,3.24,20.34,信达证券,否,否,1,False,8.55,35.98,36.54,659.63亿
83,576.21亿,5178.08万,1.24,13.63亿,0.32,25.85,27.20,SH,601231,0.95,3.10,26.18,环旭电子,否,否,1,False,2.35,35.60,34.21,576.21亿
84,965.20亿,5948.02万,-0.57,7.22亿,-0.07,12.10,12.23,SZ,300015,1.13,5.06,12.17,爱尔眼科,否,否,0,False,0.75,35.26,27.33,1134.90亿
85,602.78亿,7166.09万,4.00,25.95亿,1.38,35.12,36.96,SZ,002080,1.21,3.07,35.92,中材科技,否,否,0,False,4.27,34.19,30.55,602.78亿
86,1045.30亿,294.47万,-0.34,2.04亿,-0.24,68.95,69.62,SZ,002304,1.00,2.14,69.39,洋河股份,否,否,0,False,0.20,34.05,12.03,1045.32亿
87,1487.13亿,126.96万,-0.13,3.62亿,-0.36,283.28,286.65,SH,605499,0.57,16.90,285.98,东鹏饮料,否,否,1,False,0.24,33.95,29.66,1487.13亿
88,539.40亿,394.61万,1.90,3.68亿,1.76,92.36,94.35,SH,603486,0.72,6.35,94.32,科沃斯,否,否,1,False,0.69,33.94,28.89,546.14亿
89,4888.11亿,1.80亿,4.05,119.84亿,2.62,65.17,67.48,SZ,002475,1.06,6.60,67.28,立讯精密,否,否,0,False,2.48,33.52,36.87,4899.20亿
90,1352.14亿,4294.21万,1.12,25.17亿,0.65,57.43,60.34,SZ,002938,1.14,4.35,58.55,鹏鼎控股,否,否,0,False,1.86,33.35,55.04,1357.22亿
91,3543.40亿,5.44亿,1.88,143.86亿,0.49,25.88,26.79,SZ,300059,1.69,4.71,26.49,东方财富,否,否,0,False,4.07,33.05,34.51,4186.49亿
92,2137.49亿,1366.56万,0.10,5.23亿,0.04,38.10,38.50,SH,603288,1.22,5.69,38.44,海天味业,否,否,1,False,0.25,32.83,31.70,2249.44亿
93,1377.99亿,1.95亿,3.12,21.14亿,0.33,10.56,11.06,SZ,000617,1.38,1.33,10.90,中油资本,否,否,0,False,1.54,32.78,26.54,1377.99亿
94,850.31亿,1.56亿,10.00,46.14亿,2.74,27.52,30.14,SH,600021,0.98,4.12,30.14,上海电力,否,否,1,False,5.54,32.36,20.91,850.31亿
95,206.68亿,1.63亿,19.97,22.65亿,2.47,12.30,14.84,SH,688472,2.64,2.35,14.84,阿特斯,否,否,1,False,11.69,31.47,37.44,547.33亿
96,364.29亿,668.36万,4.50,12.18亿,7.96,172.11,187.46,SZ,002850,1.33,4.05,184.82,科达利,否,否,0,False,3.39,30.85,32.03,505.99亿
97,161.33亿,6989.29万,0.00,4.49亿,0.00,6.40,6.44,SH,600930,1.01,2.43,6.44,华电新能,否,否,1,False,2.79,30.37,26.15,2686.40亿
98,472.07亿,4411.87万,4.78,10.92亿,1.14,23.68,25.08,SZ,002517,1.09,6.51,24.99,恺英网络,否,否,0,False,2.34,30.17,25.29,533.90亿
99,665.42亿,1109.72万,0.25,13.26亿,0.30,118.60,120.30,SZ,002920,0.93,4.90,120.30,德赛西威,否,否,0,False,2.01,30.10,30.12,718.00亿
100,56.51亿,1379.12万,-0.15,9047.01万,-0.01,6.54,6.59,SZ,001391,0.87,3.08,6.58,国货航,否,否,0,False,1.61,29.92,32.82,803.34亿
101,2701.60亿,916.91万,-1.00,20.22亿,-2.26,218.28,224.69,SZ,300760,1.64,6.92,222.83,迈瑞医疗,否,否,0,False,0.76,29.44,26.77,2701.68亿
102,587.24亿,907.95万,1.22,6714.12万,0.09,7.26,7.46,SH,600236,0.75,3.35,7.45,桂冠电力,否,否,1,False,0.12,28.88,24.72,587.24亿
103,1.70万亿,3447.40万,3.50,136.45亿,13.52,384.70,400.04,SZ,300750,1.17,5.81,400.00,宁德时代,否,否,0,False,0.81,28.62,27.92,1.83万亿
104,582.88亿,1.05亿,6.71,38.72亿,2.36,35.15,37.84,SH,600549,1.33,3.55,37.51,厦门钨业,否,否,1,False,6.74,28.26,25.07,595.50亿
105,960.34亿,1223.89万,5.28,7.36亿,3.07,58.78,61.16,SZ,000408,1.12,6.36,61.16,藏格矿业,否,否,0,False,0.78,27.73,26.18,960.35亿
106,371.91亿,405.92万,-2.16,4.97亿,-2.72,121.32,126.97,SZ,300866,1.20,7.03,123.16,安克创新,否,否,0,False,1.34,27.41,25.62,660.33亿
107,611.45亿,1887.62万,5.19,19.90亿,5.28,100.90,109.22,SH,603296,1.65,4.37,107.05,华勤技术,否,否,1,False,3.30,27.35,26.32,1087.34亿
108,1874.54亿,5195.59万,0.77,11.45亿,0.17,21.90,22.18,SH,600031,0.62,2.84,22.12,三一重工,否,否,1,False,0.61,26.44,19.31,2014.24亿
109,750.48亿,6117.77万,1.48,11.69亿,0.28,18.87,19.25,SH,601788,1.45,1.49,19.21,光大证券,否,否,1,False,1.57,26.43,26.32,885.73亿
110,452.75亿,1125.53万,-0.52,3.87亿,-0.18,33.93,34.79,SZ,002422,1.31,2.36,34.67,科伦药业,否,否,0,False,0.86,25.93,27.68,554.05亿
111,3044.13亿,1.45亿,15.44,264.10亿,25.61,168.91,194.97,SZ,300274,2.03,9.23,191.49,阳光电源,否,否,0,False,9.14,25.92,25.06,3969.99亿
112,786.09亿,1553.09万,-0.08,5.86亿,-0.03,37.62,37.91,SZ,002179,0.64,3.42,37.78,中航光电,否,否,0,False,0.75,25.63,34.56,800.28亿
113,1993.48亿,1.10亿,5.99,26.92亿,1.41,23.46,24.99,SH,600406,2.91,4.11,24.93,国电南瑞,否,否,1,False,1.38,25.51,33.91,2002.40亿
114,1009.17亿,4061.74万,4.62,14.88亿,1.65,35.80,37.45,SH,600160,1.40,4.94,37.38,巨化股份,否,否,1,False,1.50,25.49,23.30,1009.17亿
115,890.41亿,464.13万,1.73,8113.47万,0.30,17.22,17.66,SZ,001289,1.08,1.97,17.66,龙源电力,否,否,0,False,0.09,25.43,25.21,1476.34亿
116,1102.76亿,6640.46万,2.80,14.97亿,0.62,22.29,22.80,SH,600489,0.67,3.90,22.75,中金黄金,否,否,1,False,1.37,25.42,22.48,1102.76亿
117,798.47亿,1.15亿,4.31,52.14亿,1.90,43.82,46.20,SZ,002074,1.61,2.93,46.00,国轩高科,否,否,0,False,6.60,25.07,24.70,834.32亿
118,525.78亿,1.57亿,4.68,24.21亿,0.70,14.82,15.68,SZ,002202,0.89,1.72,15.67,金风科技,否,否,0,False,4.68,24.96,19.21,662.07亿
119,517.44亿,338.50万,0.15,1.78亿,0.08,52.33,53.08,SH,601021,0.71,2.95,52.89,春秋航空,否,否,1,False,0.35,24.86,22.14,517.44亿
120,1056.03亿,4.46亿,8.91,91.47亿,1.71,19.11,21.11,SH,600089,2.59,1.59,20.90,特变电工,否,否,1,False,8.83,24.64,16.58,1056.03亿
121,1493.94亿,3.52亿,0.25,14.29亿,0.01,4.04,4.08,SZ,000725,1.11,1.14,4.07,京东方Ａ,否,否,0,False,0.96,24.22,23.45,1522.74亿
122,1141.06亿,3749.44万,2.60,14.52亿,0.99,38.00,39.04,SH,601995,1.45,1.96,39.03,中金公司,否,否,1,False,1.28,24.17,21.52,1884.08亿
123,496.13亿,9546.16万,4.13,20.71亿,0.87,21.08,21.95,SH,600875,1.65,1.79,21.92,东方电气,否,否,1,False,4.22,24.14,19.85,758.07亿
124,1007.75亿,4108.28万,0.66,7.49亿,0.12,18.06,18.44,SH,600415,0.87,4.54,18.38,小商品城,否,否,1,False,0.75,23.98,21.86,1007.88亿
125,1762.28亿,1995.76万,1.42,5.40亿,0.38,26.71,27.19,SH,601066,1.67,2.64,27.13,中信建投,否,否,1,False,0.31,23.71,23.34,2104.39亿
126,540.62亿,5929.16万,1.46,6.98亿,0.17,11.64,11.87,SH,601878,1.58,1.50,11.82,浙商证券,否,否,1,False,1.30,23.54,23.53,540.62亿
127,612.46亿,1889.20万,1.05,5.43亿,0.30,28.42,28.95,SH,600196,0.85,1.61,28.91,复星医药,否,否,1,False,0.89,23.52,22.95,772.02亿
128,600.20亿,2.40亿,2.66,16.51亿,0.18,6.67,6.98,SH,601377,2.16,1.09,6.95,兴业证券,否,否,1,False,2.78,23.51,22.56,600.20亿
129,886.96亿,1488.37万,2.64,11.53亿,2.00,75.71,78.07,SH,688036,1.40,4.41,77.78,传音控股,否,否,1,False,1.31,23.38,30.97,886.96亿
130,3016.99亿,5058.85万,1.12,16.81亿,0.37,33.01,33.44,SZ,002415,0.61,3.90,33.35,海康威视,否,否,0,False,0.56,23.18,24.60,3056.48亿
131,547.22亿,749.53万,1.22,5.13亿,0.83,67.48,69.18,SZ,002595,0.98,4.84,68.87,豪迈科技,否,否,0,False,0.94,23.12,23.11,550.96亿
132,1795.80亿,2.28亿,1.28,21.70亿,0.12,9.32,9.60,SH,601985,1.29,1.73,9.51,中国核电,否,否,1,False,1.21,22.85,18.33,1956.02亿
133,3644.87亿,3973.40万,0.77,41.29亿,0.80,103.00,105.18,SZ,002594,1.20,4.53,104.52,比亚迪,否,否,0,False,1.14,22.62,30.72,9529.29亿
134,733.02亿,2092.87万,4.50,16.63亿,3.48,76.91,81.16,SH,605117,1.40,8.55,80.75,德业股份,否,否,1,False,2.31,22.58,23.42,733.02亿
135,1183.20亿,7615.85万,3.80,47.08亿,2.30,60.20,62.86,SH,603799,0.97,2.50,62.80,华友钴业,否,否,1,False,4.04,22.29,21.22,1192.74亿
136,1608.80亿,1.38亿,0.49,5.61亿,0.02,4.02,4.12,SZ,003816,0.78,1.68,4.09,中国广核,否,否,0,False,0.35,21.97,18.06,2065.39亿
137,1323.41亿,1.31亿,5.53,32.25亿,1.31,23.60,25.10,SZ,000792,1.56,3.22,25.01,盐湖股份,否,否,0,False,2.47,21.97,22.04,1323.42亿
138,1816.20亿,2044.75万,-0.20,2.06亿,-0.02,10.02,10.13,SH,600025,0.75,2.86,10.09,华能水电,否,否,1,False,0.11,21.52,20.39,1879.88亿
139,62.39亿,7643.21万,7.79,9.44亿,0.90,11.59,12.71,SH,601061,1.40,2.58,12.45,中信金属,否,否,1,False,15.25,21.43,19.67,610.05亿
140,693.97亿,1.65亿,2.55,13.78亿,0.21,8.20,8.45,SH,601901,1.75,1.39,8.43,方正证券,否,否,1,False,2.00,21.42,14.56,693.97亿
141,561.85亿,4376.70万,4.12,9.61亿,0.88,21.42,22.24,SZ,000975,1.21,4.28,22.23,山金国际,否,否,0,False,1.73,21.25,18.82,617.27亿
142,1710.69亿,3631.89万,-0.33,9.86亿,-0.09,27.11,27.34,SH,600887,1.15,3.23,27.18,伊利股份,否,否,1,False,0.58,21.17,11.94,1719.23亿
143,2622.67亿,4532.34万,2.00,47.51亿,2.08,102.84,106.93,SH,603259,1.13,4.46,106.04,药明康德,否,否,1,False,1.83,21.10,19.65,3163.98亿
144,870.19亿,1.53亿,3.65,17.66亿,0.41,11.22,11.74,SH,600958,1.88,1.24,11.65,东方证券,否,否,1,False,2.05,21.05,14.29,989.86亿
145,797.63亿,2931.59万,0.32,2.76亿,0.03,9.35,9.47,SZ,001979,0.59,0.87,9.43,招商蛇口,否,否,0,False,0.35,21.00,29.50,854.44亿
146,1226.41亿,9628.87万,0.00,4.13亿,0.00,4.28,4.30,SH,600905,0.73,1.38,4.29,三峡能源,否,否,1,False,0.34,20.82,16.07,1226.41亿
147,432.26亿,3835.61万,2.56,4.75亿,0.31,12.20,12.48,SH,600026,0.81,1.56,12.44,中远海能,否,否,1,False,1.10,20.81,18.18,679.87亿
148,594.19亿,1.18亿,2.11,20.33亿,0.36,16.85,17.42,SH,600522,1.14,1.62,17.41,中天科技,否,否,1,False,3.47,20.74,19.06,594.19亿
149,492.68亿,4335.16万,3.97,12.65亿,1.13,28.74,29.69,SH,600988,0.81,4.49,29.61,赤峰黄金,否,否,1,False,2.61,20.71,20.51,562.71亿
150,1100.50亿,7254.39万,0.00,5.50亿,0.00,7.52,7.62,SZ,002027,0.88,6.73,7.62,分众传媒,否,否,0,False,0.50,20.66,19.46,1100.50亿
151,6791.65亿,7405.43万,-0.60,20.97亿,-0.17,28.26,28.46,SH,600900,0.89,3.35,28.29,长江电力,否,否,1,False,0.31,20.25,26.51,6922.06亿
